run_id,scenario,status,start_time,end_time,duration_seconds,requested_instances,deployment_id,recovery_id,healthy_count,unhealthy_count,notes
run20260411-191700-71,scale_up_5,success,2026-04-11T19:17:00-04:00,2026-04-11T19:17:43-04:00,43,5,dep-20260411231700-4f005a4e,,0,5,scaled up to 5
run20260411-191743-71,scale_down_1,success,2026-04-11T19:17:43-04:00,2026-04-11T19:18:25-04:00,42,1,dep-20260411231743-f3fdf90b,,0,1,scaled down to 1
run20260411-191825-71,kill_and_recover_app3,failed,2026-04-11T19:18:26-04:00,2026-04-11T19:19:09-04:00,43,5,dep-20260411231826-8ea3f68b,rec-20260411231908-7389a729,0,5,killed app3 and recovered
run20260411-191910-72,base_deploy_1,success,2026-04-11T19:19:10-04:00,2026-04-11T19:19:53-04:00,43,1,dep-20260411231910-395970e9,,0,1,base deployment to 1 instance
run20260411-191953-72,scale_up_5,success,2026-04-11T19:19:53-04:00,2026-04-11T19:20:37-04:00,44,5,dep-20260411231953-ed9fdf28,,0,5,scaled up to 5
run20260411-192037-72,scale_down_1,success,2026-04-11T19:20:37-04:00,2026-04-11T19:21:18-04:00,41,1,dep-20260411232037-c03fa3ff,,0,1,scaled down to 1
run20260411-192118-72,kill_and_recover_app3,failed,2026-04-11T19:21:18-04:00,2026-04-11T19:22:03-04:00,45,5,dep-20260411232118-11b02409,rec-20260411232201-bf1c69d5,0,5,killed app3 and recovered
run20260411-192203-73,base_deploy_1,success,2026-04-11T19:22:03-04:00,2026-04-11T19:22:49-04:00,46,1,dep-20260411232203-bc3e6463,,0,1,base deployment to 1 instance
run20260411-192249-73,scale_up_5,success,2026-04-11T19:22:49-04:00,2026-04-11T19:23:31-04:00,42,5,dep-20260411232249-31076e8d,,0,5,scaled up to 5
run20260411-192331-73,scale_down_1,success,2026-04-11T19:23:31-04:00,2026-04-11T19:24:13-04:00,42,1,dep-20260411232331-638ee49f,,0,1,scaled down to 1
run20260411-192413-73,kill_and_recover_app3,failed,2026-04-11T19:24:13-04:00,2026-04-11T19:24:59-04:00,46,5,dep-20260411232413-8cac4c51,rec-20260411232457-ba669e2d,0,5,killed app3 and recovered
run20260411-192459-74,base_deploy_1,success,2026-04-11T19:24:59-04:00,2026-04-11T19:25:42-04:00,43,1,dep-20260411232459-e3e3acf5,,0,1,base deployment to 1 instance
run20260411-192542-74,scale_up_5,success,2026-04-11T19:25:42-04:00,2026-04-11T19:26:24-04:00,42,5,dep-20260411232542-c6c2fab4,,0,5,scaled up to 5
run20260411-192624-74,scale_down_1,success,2026-04-11T19:26:25-04:00,2026-04-11T19:27:08-04:00,43,1,dep-20260411232625-f7fc0ea5,,0,1,scaled down to 1
run20260411-192708-74,kill_and_recover_app3,failed,2026-04-11T19:27:08-04:00,2026-04-11T19:27:53-04:00,45,5,dep-20260411232708-0709b512,rec-20260411232752-e239485d,0,5,killed app3 and recovered
run20260411-192753-75,base_deploy_1,success,2026-04-11T19:27:53-04:00,2026-04-11T19:28:38-04:00,45,1,dep-20260411232753-239def43,,0,1,base deployment to 1 instance
run20260411-192838-75,scale_up_5,success,2026-04-11T19:28:38-04:00,2026-04-11T19:29:21-04:00,43,5,dep-20260411232838-3eb087ee,,0,5,scaled up to 5
run20260411-192921-75,scale_down_1,success,2026-04-11T19:29:21-04:00,2026-04-11T19:30:01-04:00,40,1,dep-20260411232921-634741f7,,0,1,scaled down to 1
run20260411-193001-75,kill_and_recover_app3,failed,2026-04-11T19:30:01-04:00,2026-04-11T19:30:45-04:00,44,5,dep-20260411233001-17e5aa52,rec-20260411233043-fec2bca6,0,5,killed app3 and recovered
run20260411-193045-76,base_deploy_1,success,2026-04-11T19:30:45-04:00,2026-04-11T19:31:30-04:00,45,1,dep-20260411233045-5e44d8a4,,0,1,base deployment to 1 instance
